player,team,season_id,finishing_quality,chance_creation,ball_progression,one_v_one,off_ball_movement,defensive_contribution,cluster_profile,relative_finishing_quality,relative_chance_creation,relative_ball_progression,relative_one_v_one,relative_off_ball_movement,relative_defensive_contribution
Sofiane Boufal,Morocco,106,7.0,4.09,5.44,7.0,7.0,7.19,Traditional Winger,0.7133333333333338,-2.1966666666666663,-0.8466666666666658,0.7133333333333338,0.7133333333333338,0.9033333333333342
Sofiane Diop,OGC Nice,235,7.0,4.04,4.85,7.0,7.0,7.96,Traditional Winger,0.6916666666666664,-2.2683333333333335,-1.458333333333334,0.6916666666666664,0.6916666666666664,1.6516666666666664
Stan Lazaridis,Birmingham City,44,7.0,4.15,5.27,7.0,7.0,7.87,Traditional Winger,0.6183333333333332,-2.2316666666666665,-1.1116666666666672,0.6183333333333332,0.6183333333333332,1.4883333333333333
Steed Malbranque,Fulham,44,7.0,4.11,6.0,7.0,7.0,8.14,Traditional Winger,0.45833333333333304,-2.4316666666666666,-0.541666666666667,0.45833333333333304,0.45833333333333304,1.5983333333333336
Stefano Mauri,Lazio,27,7.0,4.53,4.97,7.0,7.0,7.28,Traditional Winger,0.7033333333333331,-1.7666666666666666,-1.326666666666667,0.7033333333333331,0.7033333333333331,0.9833333333333334
Stephan El Shaarawy,AS Roma,27,7.0,4.18,4.93,7.0,7.0,7.32,Traditional Winger,0.7616666666666667,-2.0583333333333336,-1.3083333333333336,0.7616666666666667,0.7616666666666667,1.081666666666667
Stephen Clemence,Birmingham City,44,7.0,4.13,4.95,7.0,7.0,7.96,Traditional Winger,0.6600000000000001,-2.21,-1.3899999999999997,0.6600000000000001,0.6600000000000001,1.62
Stevan Jovetić,Inter Milan,27,7.0,4.07,4.84,7.0,7.0,7.28,Traditional Winger,0.8016666666666667,-2.128333333333333,-1.3583333333333334,0.8016666666666667,0.8016666666666667,1.081666666666667
Steven Berghuis,Netherlands,106,7.0,4.12,5.3,7.0,7.0,7.0,Traditional Winger,0.7633333333333328,-2.116666666666667,-0.9366666666666674,0.7633333333333328,0.7633333333333328,0.7633333333333328
Steven Bergwijn,Netherlands,282,7.0,4.0,5.01,7.0,7.0,7.0,Traditional Winger,0.831666666666667,-2.168333333333333,-1.1583333333333332,0.831666666666667,0.831666666666667,0.831666666666667
Stylianos Giannakopoulos,Bolton Wanderers,44,7.0,4.07,4.99,7.0,7.0,7.86,Traditional Winger,0.6799999999999997,-2.25,-1.33,0.6799999999999997,0.6799999999999997,1.54
Takashi Inui,Eibar,42,7.0,4.0,4.71,7.0,7.0,7.0,Traditional Winger,0.8816666666666668,-2.118333333333333,-1.4083333333333332,0.8816666666666668,0.8816666666666668,0.8816666666666668
Taulant Sulejmanov,Albania,282,7.0,4.0,4.65,7.0,7.0,7.0,Traditional Winger,0.8916666666666666,-2.1083333333333334,-1.458333333333333,0.8916666666666666,0.8916666666666666,0.8916666666666666
Thierry Henry,Arsenal,44,7.0,4.12,5.06,7.0,7.0,7.0,Traditional Winger,0.8033333333333337,-2.076666666666666,-1.1366666666666667,0.8033333333333337,0.8033333333333337,0.8033333333333337
Thorgan Hazard,Belgium,106,7.0,5.05,4.9,7.0,7.0,7.02,Traditional Winger,0.6716666666666669,-1.2783333333333333,-1.4283333333333328,0.6716666666666669,0.6716666666666669,0.6916666666666664
