player,season_id,minutes_played,cluster,Cluster Label
Filip Đorđević,27,1325,0,Poacher
Antonio Di Natale,27,1161,0,Poacher
Diego Perotti,27,847,3,Advanced Forward
Antonio Cassano,27,992,1,Target Man
Diego Falcinelli,27,1137,2,Complete Forward
Marko Livaja,27,628,2,Complete Forward
Mario Barwuah Balotelli,27,886,3,Advanced Forward
Jerry Uche Mbakogu,27,1718,3,Advanced Forward
Antonio Floro Flores,27,762,1,Target Man
Rodrigo Sebastián Palacio,27,866,3,Advanced Forward
Sambou Soumano,108,20,1,Target Man
Massadio Haïdara,108,29,3,Advanced Forward
Sekou Oumar Yansane,108,17,1,Target Man
Ryad Boudebouz,108,91,3,Advanced Forward
Martin Adeline,108,34,1,Target Man
Quentin Boisgard,108,14,3,Advanced Forward
Nicholas Gioacchini,108,30,3,Advanced Forward
Myron Boadu,108,37,0,Poacher
Moses Daddy-Ajala Simon,108,90,3,Advanced Forward
Armand Lauriente,108,92,2,Complete Forward
Florian Sotoca,108,119,1,Target Man
Mitchell van Bergen,108,24,2,Complete Forward
Mohamed Bayo,108,82,2,Complete Forward
Jean-Philippe Krasso,108,6,2,Complete Forward
Ilan Kebbal,108,74,3,Advanced Forward
Wahbi Khazri,108,93,3,Advanced Forward
Amadou Onana,108,10,0,Poacher
Alexis Flips,108,19,2,Complete Forward
Anastasios Donis,108,28,2,Complete Forward
Amine Gouiri,108,96,3,Advanced Forward
Angel Gomes,108,21,3,Advanced Forward
Louis Didace Mafouta,108,17,1,Target Man
Kalifa Coulibaly,108,57,1,Target Man
Dimitri Payet,108,96,1,Target Man
El Bilal Toure,108,80,0,Poacher
Ludovic Ajorque,108,68,1,Target Man
Martin Terrier,108,75,1,Target Man
Burak Yılmaz,108,74,0,Poacher
Oriol Busquets Mas,108,8,1,Target Man
Didier Lamkel Zé,108,70,2,Complete Forward
Ibrahima Koné,108,67,1,Target Man
Hatem Ben Arfa,108,68,3,Advanced Forward
Nathanaël Mbuku,108,55,3,Advanced Forward
Cédric Bakambu,108,1,1,Target Man
Kasper Dolberg,108,156,2,Complete Forward
Samuel Sáiz Alonso,4,18,0,Poacher
Giovani Lo Celso,4,66,3,Advanced Forward
Ángel Luis Rodríguez Díaz,4,158,0,Poacher
Sergio León Limones,4,19,1,Target Man
Óscar Melendo Jiménez,4,65,2,Complete Forward
Seydou Doumbia,4,5,0,Poacher
Óscar Plano Pedreño,4,91,3,Advanced Forward
Sergio Enrich Ametller,4,147,0,Poacher
Sergio García De La Fuente,4,25,3,Advanced Forward
Sergio Gontán Gallardo,4,13,1,Target Man
Wissam Ben Yedder,4,183,3,Advanced Forward
Rubén Pardo Gutiérrez,4,79,1,Target Man
Enrique García Martínez,4,27,0,Poacher
Diego Lainez Leyva,4,23,1,Target Man
Michael Nicolás Santos Rosadilla,4,13,0,Poacher
Denis Cheryshev,4,90,2,Complete Forward
Marc Cardona Rovira,4,18,1,Target Man
Ferrán Torres García,4,52,2,Complete Forward
Aritz Aduriz Zubeldia,4,13,0,Poacher
